pickup_name,pickup_city,pickup_state,pickup_zip,dest_name,dest_city,dest_state,dest_zip,miles,price_usd,vehicle_class,dispatch_id,status,dispatch_date,cod,vehicle_count,vehicle
,Elgin,IL,60120,,Newark,NJ,07105,822,525,standard,526SUBCR1,Delivered,05/26/2026,0,1,2024 Subaru Crosstrek
,Pasco,WA,99301,,Gardena,CA,90248,1099,850,standard,519AUDA41,Delivered,05/26/2026,0,1,2017 Audi A4 Sedan
,Haslet,TX,76052,,La Porte,TX,77571,302,270,standard,522MERGL2,Delivered,05/26/2026,0,1,2020 Mercedes-Benz GLS
,Mcfarland,WI,53558,,Irvington,NJ,07111,926,670,standard,526DODDU1,Delivered,05/26/2026,0,1,2023 Dodge Durango
,Rock Tavern,NY,12575,,Irvington,NJ,07111,63,200,standard,526MAZCX1,Delivered,05/26/2026,0,1,2024 MAZDA CX-90
,Chicago,IL,60630,,Irvington,NJ,07111,790,800,standard,518JEEP43,Dispatched,05/26/2026,0,1,1943 Jeep Willys
,Fridley,MN,55421,,Irvington,NJ,07111,1200,550,standard,526VOLXC1,Delivered,05/26/2026,0,1,2018 Volvo XC90
,Los Angeles,CA,90001,,Gardena,CA,90248,10,115,standard,526PORPA1,Delivered,05/26/2026,0,1,2018 Porsche Panamera
,Houston,TX,77049,,La Porte,TX,77571,18,125,standard,526VOLXC2,Dispatched,05/26/2026,0,1,2025 Volvo XC60
,Commerce City,CO,80022,,La Porte,TX,77571,1036,530,standard,523MERE31,Delivered,05/26/2026,0,1,2017 Mercedes-Benz E-Class Sedan
,Kansas City,KS,66111,,Rincon,GA,31326,1057,650,standard,522CHRPA1,Delivered,05/25/2026,0,1,2018 Chrysler Pacifica
,Graham,NC,27253,,Newark,NJ,07105,510,400,standard,521LEXIS1,Delivered,05/22/2026,0,1,2024 Lexus IS
,Sanford,FL,32773,,Rincon,GA,31326,277,425,standard,507MAZCX1,Delivered,05/22/2026,0,1,2024 MAZDA CX-90 PHEV
,Riverview,FL,33578,,Rincon,GA,31326,342,300,standard,521MAZCX1,Delivered,05/22/2026,0,1,2024 MAZDA CX-90
,Littleton,CO,80125,,La Porte,TX,77571,1037,550,standard,522BMWX31,Delivered,05/22/2026,0,1,2017 BMW X3 Sports Activity Vehicle
,Medford,NY,11763,,Newark,NJ,07105,76,195,standard,522MERCL1,Dispatched,05/22/2026,0,1,2020 Mercedes-Benz CLA
,Medford,NY,11763,,Irvington,NJ,07111,80,205,standard,522MERGL1,Dispatched,05/22/2026,0,1,2022 Mercedes-Benz GLC SUV
,Houston,TX,77049,,La Porte,TX,77571,18,100,standard,522VOLXC1,Delivered,05/22/2026,0,1,2018 Volvo XC90
,Milwaukee,WI,53224,,Newark,NJ,07105,896,550,standard,522CHECO1,Delivered,05/22/2026,0,1,2025 Chevrolet Corvette
,Markham,IL,60428,,Irvington,NJ,07111,771,600,standard,521DODDU1,Picked-Up,05/21/2026,0,1,2024 Dodge Durango
,Hayward,CA,94545,,Gardena,CA,90248,380,350,standard,521FORES1,Delivered,05/21/2026,0,1,2025 Ford Escape Plug-In Hybrid
,Jacksonville,FL,32218,,Rincon,GA,31326,138,200,standard,521FORED1,Delivered,05/21/2026,0,1,2024 Ford Edge
,New Britain,CT,06051,,Newark,NJ,07105,119,250,standard,521AUDA41,Delivered,05/21/2026,0,1,2019 Audi A4 Sedan
,Arcadia,FL,34269,,Rincon,GA,31326,413,300,standard,519BMW331,Delivered,05/21/2026,0,1,2023 BMW 3 Series Sedan
,Chalfont,PA,18914,,Irvington,NJ,07111,70,190,standard,520DODDU3,Delivered,05/20/2026,0,1,2021 Dodge Durango
,Miami,FL,33167,,Rincon,GA,31326,485,285,standard,520ALFST1,Delivered,05/20/2026,0,1,2018 Alfa Romeo Stelvio
,Colton,CA,92324,,Gardena,CA,90248,65,170,standard,520MERCL1,Delivered,05/20/2026,0,1,2019 Mercedes-Benz CLA
,Los Angeles,CA,91605,,Gardena,CA,90248,33,130,standard,520AUDA41,Delivered,05/20/2026,0,1,2017 Audi A4 Sedan
,Fremont,CA,94538,,Gardena,CA,90248,366,400,standard,520DODDU2,Delivered,05/20/2026,0,1,2021 Dodge Durango
,Medford,NY,11763,,Irvington,NJ,07111,80,225,standard,520DODDU1,Delivered,05/20/2026,0,1,2023 Dodge Durango
,Justin,TX,76247,,La Porte,TX,77571,307,200,standard,520TESMO1,Picked-Up,05/20/2026,0,1,2022 Tesla Model 3
,Anaheim,CA,92806,,Gardena,CA,90248,26,130,standard,520MERSL1,Delivered,05/20/2026,0,1,2019 Mercedes-Benz SLC
,Riverview,FL,33578,,Rincon,GA,31326,342,250,standard,519AUDA51,Delivered,05/20/2026,0,1,2019 Audi A5 Sportback
